Year,Price,Inflation,
1969,$20.00 ,6.08%,
1970,$21.24 ,6.18%,
1971,$22.01 ,3.65%,
1972,$22.83 ,3.70%,
1973,$24.31 ,6.51%,
1974,$26.95 ,10.83%,
1975,$28.95 ,7.45%,
1976,$30.53 ,5.43%,
1977,$32.62 ,6.87%,
1978,$35.10 ,7.59%,
1979,$39.56 ,12.71%,
1980,$45.85 ,15.90%,
1981,$50.11 ,9.28%,
1982,$52.13 ,4.05%,
1983,$53.62 ,2.85%,
1984,$55.50 ,3.50%,
1985,$57.43 ,3.48%,
1986,$58.23 ,1.40%,
1987,$60.00 ,3.03%,
1988,$62.28 ,3.80%,
1989,$65.58 ,5.31%,
1990,$68.95 ,5.14%,
1991,$71.47 ,3.65%,
1992,$72.97 ,2.10%,
1993,$74.94 ,2.70%,
1994,$77.31 ,3.16%,
1995,$79.75 ,3.16%,
1996,$81.91 ,2.71%,
1997,$83.93 ,2.47%,
1998,$85.79 ,2.21%,
1999,$88.03 ,2.61%,
2000,$91.12 ,3.52%,
2001,$93.71 ,2.84%,
2002,$96.04 ,2.50%,
2003,$98.08 ,2.12%,
2004,$99.58 ,1.53%,
2005,$102.43 ,2.86%,
2006,$105.57 ,3.07%,
2007,$107.49 ,1.82%,
2008,$110.11 ,2.44%,
2009,$109.25 ,-0.78%,
2010,$110.18 ,0.85%,
2011,$113.67 ,3.16%,
2012,$116.08 ,2.12%,
2013,$117.94 ,1.60%,
2014,$119.22 ,1.08%,
2015,$117.64 ,-1.32%,
2016,$119.36 ,1.46%,
2017,$121.79 ,2.03%,
2018,$124.78 ,2.46%,
2019,$126.43 ,1.32%,
2020,$126.77 ,0.27%*,
