DATE,GDPC1_NBD19690101
1/1/1969,100
1/1/1970,100.18605
1/1/1971,103.48554
1/1/1972,108.92774
1/1/1973,115.07749
1/1/1974,114.45545
1/1/1975,114.22028
1/1/1976,120.37463
1/1/1977,125.94096
1/1/1978,132.91217
1/1/1979,137.12036
1/1/1980,136.76829
1/1/1981,140.2391
1/1/1982,137.71076
1/1/1983,144.02332
1/1/1984,154.44575
1/1/1985,160.8856
1/1/1986,166.45649
1/1/1987,172.21519
1/1/1988,179.40871
1/1/1989,185.99776
1/1/1990,189.50561
1/1/1991,189.30044
1/1/1992,195.96844
1/1/1993,201.36316
1/1/1994,209.47575
1/1/1995,215.09867
1/1/1996,223.21328
1/1/1997,233.14007
1/1/1998,243.58802
1/1/1999,255.16634
1/1/2000,265.69827
1/1/2001,268.35086
1/1/2002,273.02472
1/1/2003,280.83651
1/1/2004,291.5052
1/1/2005,301.74639
1/1/2006,310.36117
1/1/2007,316.18409
1/1/2008,315.75224
1/1/2009,307.74237
1/1/2010,315.63217
1/1/2011,320.5271
1/1/2012,327.73751
1/1/2013,333.7747
1/1/2014,342.20576
1/1/2015,352.73035
1/1/2016,358.76706
1/1/2017,367.13595
1/1/2018,378.13704
1/1/2019,386.30926
1/1/2020,.
